crop_code,year,revenue,Pcost,Dcost,Hprice,temp,rain,sun,insolation,gdp,area,yield
120008,2003,2728719,951001,47.1,12416,21.26,278.7,246.04,480.12,837365,0,0
120008,2004,3178766,968775,46.8,13596,22.1,249.96,205.78,533.8,908439,0,0
120008,2005,3170930,1015038,48.6,12400,22.4,154.28,221.82,532.5,957447,0,0
120008,2006,3454359,1028796,56.7,12000,21.58,226.26,197.82,511.7,1005601,0,0
120008,2007,3357230,1174289,57.4,13492,22,241.08,170.86,516.5,1089660,0,0
120008,2008,3911850,1249705,49,12416,22.04,143.4,182.68,542.2,1154217,0,0
120008,2009,3588001,1247246,50.7,12064,21.92,185.74,197.94,611.9,1205348,228,3324
120008,2010,4169308,1340497,36.4,11840,22.74,218.84,186.82,596.9,1322611,246,2922
120008,2011,4174118,1566950,36.7,12635,22.38,218.72,173.28,599,1388937,255,3121
120008,2012,5213359,1693942,36.9,13752,22.74,234.88,212.52,569,1440111,246,3092
120008,2013,5306828,1682802,36.9,14250,23.18,165.9,236.04,592.7,1500819,176,2068
120008,2014,4849784,1710299,37.3,14605,21.94,210.92,200.22,604,1562929,159,1895
120008,2015,5078133,1678691,37.3,15504,21.9,133.56,231.32,582.2,1658020,189,2252
120008,2016,4833192,1705820,40.3,14864,22.98,149.7,230.98,593.3,1740779,575,6841
120008,2017,4543659,1771363,40.3,15572,22.82,120.78,235.52,592.7,1835698,590,4861
120008,2018,5210418,1752010,32.5,16029,23.12,170.66,234.38,590,1898193,573,4364
120008,2019,4367747,1887326,32.5,15384,22.34,199.88,223.2,576.3,1924498,596,6187
120008,2020,3770676,2012039,34.8,17183,22.12,266.5,190.78,528.5,1940726,598,5702
120008,2021,4861367,2164026,34.8,17673,22.92,206.04,218.18,583.9,2071658,583,5779
