crop_code,year,revenue,Pcost,Dcost,Hprice,temp,rain,sun,insolation,gdp,area,yield
120014,2003,24130916,9504560,0,8939,21.26,278.7,246.04,480.12,837365,635,47625
120014,2004,25624560,10331776,0,8992,22.1,249.96,205.78,533.8,908439,670,46096
120014,2005,24706635,10955989,0,10107,22.4,154.28,221.82,532.5,957447,742,54112
120014,2006,25081915,10608139,0,11086,21.58,226.26,197.82,511.7,1005601,1124,83365
120014,2007,24590610,12132230,0,11607,22,241.08,170.86,516.5,1089660,1108,83355
120014,2008,27234378,14615808,0,11832,22.04,143.4,182.68,542.2,1154217,891,69766
120014,2009,30007632,15427148,0,11785,21.92,185.74,197.94,611.9,1205348,902,69540
120014,2010,31385580,15404455,0,11840,22.74,218.84,186.82,596.9,1322611,840,59732
120014,2011,31733420,16159608,0,12483,22.38,218.72,173.28,599,1388937,835,60588
120014,2012,39050760,19682390,0,13037,22.74,234.88,212.52,569,1440111,925,72085
120014,2013,44028377,24164987,0,14270,23.18,165.9,236.04,592.7,1500819,1054,92309
120014,2014,39938355,20594136,0,14930,21.94,210.92,200.22,604,1562929,1037,90738
120014,2015,41410039,20323015,0,15753,21.9,133.56,231.32,582.2,1658020,939,80285
120014,2016,41003625,19148146,0,14565,22.98,149.7,230.98,593.3,1740779,1100,60478
120014,2017,41118898,22696808,0,15603,22.82,120.78,235.52,592.7,1835698,945,61396
120014,2018,35599715,20621433,0,13302,23.12,170.66,234.38,590,1898193,964,52035
120014,2019,41212257,24211837,0,13135,22.34,199.88,223.2,576.3,1924498,908,59349
120014,2020,41794853,23052682,0,12472,22.12,266.5,190.78,528.5,1940726,871,55099
120014,2021,45263956,23393898,0,12594,22.92,206.04,218.18,583.9,2071658,643,41196
